 | 1    | Rayquaza-Mega      | 16.97981% | 169376 | 16.980% | 104457 | 16.733% | 
 | 2    | Groudon-Primal     | 12.88894% | 128569 | 12.889% | 90850  | 14.554% | 
 | 3    | Smeargle           | 10.91564% | 108885 | 10.916% | 66689  | 10.683% | 
 | 4    | Marshadow          |  9.89019% | 98656  |  9.890% | 62888  | 10.074% | 
 | 5    | Kyogre-Primal      |  8.82664% | 88047  |  8.827% | 54572  |  8.742% | 
 | 6    | Xerneas            |  7.42255% | 74041  |  7.423% | 45250  |  7.249% | 
 | 7    | Necrozma-Dusk-Mane |  6.15871% | 61434  |  6.159% | 39402  |  6.312% | 
 | 8    | Greninja-Ash       |  5.97826% | 59634  |  5.978% | 39689  |  6.358% | 
 | 9    | Aegislash          |  5.86789% | 58533  |  5.868% | 38063  |  6.097% | 
 | 10   | Arceus             |  5.74799% | 57337  |  5.748% | 33461  |  5.360% | 
 | 11   | Shuckle            |  5.00795% | 49955  |  5.008% | 33554  |  5.375% | 
 | 12   | Eevee              |  4.93186% | 49196  |  4.932% | 39196  |  6.279% | 
 | 13   | Yveltal            |  4.83592% | 48239  |  4.836% | 31761  |  5.088% | 
 | 14   | Ferrothorn         |  4.72184% | 47101  |  4.722% | 35824  |  5.739% | 
 | 15   | Mimikyu            |  4.70991% | 46982  |  4.710% | 30184  |  4.835% | 
 | 16   | Gliscor            |  4.65317% | 46416  |  4.653% | 30796  |  4.933% | 
 | 17   | Darkrai            |  4.53066% | 45194  |  4.531% | 28489  |  4.564% | 
 | 18   | Espeon             |  4.47703% | 44659  |  4.477% | 26525  |  4.249% | 
 | 19   | Garchomp           |  4.47101% | 44599  |  4.471% | 29102  |  4.662% | 
 | 20   | Zygarde            |  4.42480% | 44138  |  4.425% | 28218  |  4.520% | 
 | 21   | Ditto              |  4.12165% | 41114  |  4.122% | 15290  |  2.449% | 
 | 22   | Greninja           |  4.03102% | 40210  |  4.031% | 25619  |  4.104% | 
 | 23   | Blaziken-Mega      |  3.84225% | 38327  |  3.842% | 25663  |  4.111% | 
 | 24   | Dragonite          |  3.78832% | 37789  |  3.788% | 23808  |  3.814% | 
 | 25   | Scolipede          |  3.78611% | 37767  |  3.786% | 27436  |  4.395% | 
 | 26   | Gengar-Mega        |  3.77799% | 37686  |  3.778% | 25207  |  4.038% | 
 | 27   | Charizard-Mega-X   |  3.72005% | 37108  |  3.720% | 25515  |  4.087% | 
 | 28   | Serperior          |  3.71343% | 37042  |  3.713% | 23142  |  3.707% | 
 | 29   | Arceus-Fairy       |  3.59664% | 35877  |  3.597% | 24198  |  3.876% | 
 | 30   | Mew                |  3.57970% | 35708  |  3.580% | 19324  |  3.096% | 
 | 31   | Cloyster           |  3.54080% | 35320  |  3.541% | 23177  |  3.713% | 
 | 32   | Snorlax            |  3.47504% | 34664  |  3.475% | 21333  |  3.417% | 
 | 33   | Clefable           |  3.47253% | 34639  |  3.473% | 20593  |  3.299% | 
 | 34   | Toxapex            |  3.45098% | 34424  |  3.451% | 23276  |  3.729% | 
 | 35   | Blaziken           |  3.45058% | 34420  |  3.451% | 23649  |  3.788% | 
 | 36   | Volcarona          |  3.38522% | 33768  |  3.385% | 21129  |  3.385% | 
 | 37   | Chansey            |  3.34081% | 33325  |  3.341% | 19152  |  3.068% | 
 | 38   | Mewtwo-Mega-Y      |  3.30612% | 32979  |  3.306% | 20182  |  3.233% | 
 | 39   | Lugia              |  3.27705% | 32689  |  3.277% | 20138  |  3.226% | 
 | 40   | Togekiss           |  3.24527% | 32372  |  3.245% | 19829  |  3.176% | 
 | 41   | Lucario-Mega       |  3.11925% | 31115  |  3.119% | 20528  |  3.288% | 
 | 42   | Ninjask            |  3.08978% | 30821  |  3.090% | 23609  |  3.782% | 
 | 43   | Deoxys-Attack      |  3.02322% | 30157  |  3.023% | 15247  |  2.442% | 
 | 44   | Zeraora            |  2.91836% | 29111  |  2.918% | 19079  |  3.056% | 
 | 45   | Skarmory           |  2.88607% | 28789  |  2.886% | 22418  |  3.591% | 
 | 46   | Charizard-Mega-Y   |  2.85560% | 28485  |  2.856% | 19028  |  3.048% | 
 | 47   | Drifblim           |  2.84066% | 28336  |  2.841% | 20253  |  3.244% | 
 | 48   | Kartana            |  2.78372% | 27768  |  2.784% | 17133  |  2.745% | 
 | 49   | Gengar             |  2.73841% | 27316  |  2.738% | 17836  |  2.857% | 
 | 50   | Infernape          |  2.70643% | 26997  |  2.706% | 18628  |  2.984% | 
 | 51   | Metagross-Mega     |  2.69711% | 26904  |  2.697% | 17291  |  2.770% | 
 | 52   | Weavile            |  2.58944% | 25830  |  2.589% | 18544  |  2.971% | 
 | 53   | Umbreon            |  2.55636% | 25500  |  2.556% | 16464  |  2.637% | 
 | 54   | Breloom            |  2.53610% | 25298  |  2.536% | 16167  |  2.590% | 
 | 55   | Tyranitar          |  2.49410% | 24879  |  2.494% | 16799  |  2.691% | 
 | 56   | Necrozma-Dawn-Wings |  2.39245% | 23865  |  2.392% | 14658  |  2.348% | 
 | 57   | Shaymin-Sky        |  2.32197% | 23162  |  2.322% | 13530  |  2.167% | 
 | 58   | Rattata            |  2.30804% | 23023  |  2.308% | 7544   |  1.209% | 
 | 59   | Jolteon            |  2.26513% | 22595  |  2.265% | 15128  |  2.423% | 
 | 60   | Salamence-Mega     |  2.17561% | 21702  |  2.176% | 13757  |  2.204% | 
 | 61   | Ninetales-Alola    |  2.15857% | 21532  |  2.159% | 14237  |  2.281% | 
 | 62   | Excadrill          |  2.14002% | 21347  |  2.140% | 15033  |  2.408% | 
 | 63   | Sylveon            |  2.12749% | 21222  |  2.127% | 12682  |  2.032% | 
 | 64   | Venusaur-Mega      |  2.11726% | 21120  |  2.117% | 13683  |  2.192% | 
 | 65   | Ho-Oh              |  2.06844% | 20633  |  2.068% | 13882  |  2.224% | 
 | 66   | Sableye-Mega       |  2.03847% | 20334  |  2.038% | 15434  |  2.472% | 
 | 67   | Arceus-Steel       |  2.03777% | 20327  |  2.038% | 13031  |  2.087% | 
 | 68   | Tapu Koko          |  2.01571% | 20107  |  2.016% | 13795  |  2.210% | 
 | 69   | Bisharp            |  2.01170% | 20067  |  2.012% | 13307  |  2.132% | 
 | 70   | Jirachi            |  2.00779% | 20028  |  2.008% | 10993  |  1.761% | 
 | 71   | Galvantula         |  1.99676% | 19918  |  1.997% | 16350  |  2.619% | 
 | 72   | Gardevoir-Mega     |  1.99466% | 19897  |  1.995% | 12278  |  1.967% | 
 | 73   | Vaporeon           |  1.98935% | 19844  |  1.989% | 12284  |  1.968% | 
 | 74   | Naganadel          |  1.96168% | 19568  |  1.962% | 12067  |  1.933% | 
 | 75   | Blissey            |  1.95947% | 19546  |  1.959% | 11619  |  1.861% | 
 | 76   | Kangaskhan-Mega    |  1.95777% | 19529  |  1.958% | 13590  |  2.177% | 
 | 77   | Mewtwo-Mega-X      |  1.94072% | 19359  |  1.941% | 11965  |  1.917% | 
 | 78   | Azumarill          |  1.91085% | 19061  |  1.911% | 12576  |  2.015% | 
 | 79   | Arcanine           |  1.89060% | 18859  |  1.891% | 12891  |  2.065% | 
 | 80   | Crobat             |  1.89010% | 18854  |  1.890% | 12530  |  2.007% | 
 | 81   | Deoxys-Speed       |  1.88017% | 18755  |  1.880% | 15089  |  2.417% | 
 | 82   | Forretress         |  1.84789% | 18433  |  1.848% | 15374  |  2.463% | 
 | 83   | Landorus-Therian   |  1.83155% | 18270  |  1.832% | 12901  |  2.067% | 
 | 84   | Mewtwo             |  1.82153% | 18170  |  1.822% | 10695  |  1.713% | 
 | 85   | Milotic            |  1.81832% | 18138  |  1.818% | 11564  |  1.852% | 
 | 86   | Arceus-Ground      |  1.80850% | 18040  |  1.808% | 13270  |  2.126% | 
 | 87   | Krookodile         |  1.79376% | 17893  |  1.794% | 11574  |  1.854% | 
 | 88   | Beedrill-Mega      |  1.76569% | 17613  |  1.766% | 11448  |  1.834% | 
 | 89   | Giratina-Origin    |  1.75336% | 17490  |  1.753% | 11009  |  1.764% | 
 | 90   | Scizor-Mega        |  1.74163% | 17373  |  1.742% | 11631  |  1.863% | 
 | 91   | Lopunny-Mega       |  1.71807% | 17138  |  1.718% | 11744  |  1.881% | 
 | 92   | Dialga             |  1.70775% | 17035  |  1.708% | 10859  |  1.740% | 
 | 93   | Celesteela         |  1.69822% | 16940  |  1.698% | 11186  |  1.792% | 
 | 94   | Scizor             |  1.68549% | 16813  |  1.685% | 10767  |  1.725% | 
 | 95   | Sceptile-Mega      |  1.62845% | 16244  |  1.628% | 10322  |  1.654% | 
 | 96   | Chandelure         |  1.62093% | 16169  |  1.621% | 10856  |  1.739% | 
 | 97   | Porygon-Z          |  1.61201% | 16080  |  1.612% | 9710   |  1.555% | 
 | 98   | Zoroark            |  1.60810% | 16041  |  1.608% | 6590   |  1.056% | 
 | 99   | Alakazam-Mega      |  1.58895% | 15850  |  1.589% | 9919   |  1.589% | 
 | 100  | Metagross          |  1.52780% | 15240  |  1.528% | 9917   |  1.589% | 
 | 101  | Shedinja           |  1.52269% | 15189  |  1.523% | 8539   |  1.368% | 
 | 102  | Swampert-Mega      |  1.52178% | 15180  |  1.522% | 10420  |  1.669% | 
 | 103  | Hydreigon          |  1.51186% | 15081  |  1.512% | 9581   |  1.535% | 
 | 104  | Talonflame         |  1.49111% | 14874  |  1.491% | 10042  |  1.609% | 
 | 105  | Garchomp-Mega      |  1.49010% | 14864  |  1.490% | 9369   |  1.501% | 
 | 106  | Staraptor          |  1.48970% | 14860  |  1.490% | 9755   |  1.563% | 
 | 107  | Hawlucha           |  1.47838% | 14747  |  1.478% | 9536   |  1.528% | 
 | 108  | Rotom-Wash         |  1.47527% | 14716  |  1.475% | 9867   |  1.581% | 
