 | 1    | Kyogre             | 54.83481% | 207269 | 54.835% | 127259 | 71.078% | 
 | 2    | Incineroar         | 54.46840% | 205884 | 54.468% | 108902 | 60.825% | 
 | 3    | Xerneas            | 37.92078% | 143336 | 37.921% | 76434  | 42.691% | 
 | 4    | Tapu Koko          | 35.01011% | 132334 | 35.010% | 53110  | 29.663% | 
 | 5    | Tapu Lele          | 26.64503% | 100715 | 26.645% | 45067  | 25.171% | 
 | 6    | Ferrothorn         | 21.67026% | 81911  | 21.670% | 38487  | 21.496% | 
 | 7    | Kartana            | 21.07157% | 79648  | 21.072% | 38229  | 21.352% | 
 | 8    | Necrozma-Dusk-Mane | 20.39403% | 77087  | 20.394% | 41835  | 23.366% | 
 | 9    | Amoonguss          | 19.91809% | 75288  | 19.918% | 26815  | 14.977% | 
 | 10   | Yveltal            | 17.81141% | 67325  | 17.811% | 35183  | 19.651% | 
 | 11   | Ludicolo           | 17.09816% | 64629  | 17.098% | 31293  | 17.478% | 
 | 12   | Groudon            | 14.41792% | 54498  | 14.418% | 36868  | 20.592% | 
 | 13   | Solgaleo           | 10.45615% | 39523  | 10.456% | 21516  | 12.017% | 
 | 14   | Landorus-Therian   |  9.92862% | 37529  |  9.929% | 15538  |  8.678% | 
 | 15   | Hitmontop          |  9.64475% | 36456  |  9.645% | 14751  |  8.239% | 
 | 16   | Raichu             |  9.12383% | 34487  |  9.124% | 15115  |  8.442% | 
 | 17   | Tapu Fini          |  8.43307% | 31876  |  8.433% | 12733  |  7.112% | 
 | 18   | Tapu Bulu          |  8.00343% | 30252  |  8.003% | 12622  |  7.050% | 
 | 19   | Cresselia          |  7.87618% | 29771  |  7.876% | 9956   |  5.561% | 
 | 20   | Smeargle           |  7.16478% | 27082  |  7.165% | 11537  |  6.444% | 
 | 21   | Snorlax            |  5.83220% | 22045  |  5.832% | 8461   |  4.726% | 
 | 22   | Tsareena           |  5.82347% | 22012  |  5.823% | 10796  |  6.030% | 
 | 23   | Crobat             |  5.72664% | 21646  |  5.727% | 6399   |  3.574% | 
 | 24   | Dialga             |  5.67373% | 21446  |  5.674% | 11832  |  6.609% | 
 | 25   | Ho-Oh              |  5.64965% | 21355  |  5.650% | 12638  |  7.059% | 
 | 26   | Whimsicott         |  5.61499% | 21224  |  5.615% | 8330   |  4.653% | 
 | 27   | Lunala             |  5.48457% | 20731  |  5.485% | 10821  |  6.044% | 
