 | 1    | Landorus-Therian   | 34.16414% | 1097719 | 26.375% | 936596 | 29.544% | 
 | 2    | Heatran            | 18.39149% | 615224 | 14.782% | 508252 | 16.032% | 
 | 3    | Greninja-Ash       | 17.47965% | 630602 | 15.152% | 465222 | 14.675% | 
 | 4    | Ferrothorn         | 17.46477% | 661834 | 15.902% | 563003 | 17.759% | 
 | 5    | Tapu Koko          | 17.14570% | 595923 | 14.318% | 472508 | 14.905% | 
 | 6    | Magearna           | 15.04459% | 450263 | 10.819% | 351402 | 11.084% | 
 | 7    | Zygarde            | 13.92208% | 419233 | 10.073% | 304874 |  9.617% | 
 | 8    | Kartana            | 13.04972% | 445045 | 10.693% | 323705 | 10.211% | 
 | 9    | Greninja           | 10.74894% | 403497 |  9.695% | 308861 |  9.743% | 
 | 10   | Toxapex            | 10.65302% | 412772 |  9.918% | 317873 | 10.027% | 
 | 11   | Tapu Lele          | 10.04077% | 323064 |  7.762% | 241709 |  7.624% | 
 | 12   | Zapdos             |  9.42888% | 326636 |  7.848% | 258703 |  8.160% | 
 | 13   | Tornadus-Therian   |  9.36773% | 279615 |  6.718% | 223109 |  7.038% | 
 | 14   | Clefable           |  9.21246% | 348776 |  8.380% | 260217 |  8.208% | 
 | 15   | Excadrill          |  9.10608% | 326158 |  7.837% | 255438 |  8.057% | 
 | 16   | Tangrowth          |  8.35581% | 275417 |  6.617% | 214627 |  6.770% | 
 | 17   | Chansey            |  8.32340% | 319680 |  7.681% | 240255 |  7.579% | 
 | 18   | Tapu Bulu          |  8.32266% | 261547 |  6.284% | 201952 |  6.370% | 
 | 19   | Gliscor            |  8.10917% | 395912 |  9.513% | 306654 |  9.673% | 
 | 20   | Rotom-Wash         |  7.93634% | 302413 |  7.266% | 251366 |  7.929% | 
 | 21   | Celesteela         |  7.80406% | 293561 |  7.053% | 233279 |  7.358% | 
 | 22   | Mawile-Mega        |  7.72266% | 246599 |  5.925% | 181571 |  5.727% | 
 | 23   | Hawlucha           |  7.30427% | 257697 |  6.192% | 174398 |  5.501% | 
 | 24   | Serperior          |  7.16310% | 303091 |  7.282% | 220336 |  6.950% | 
